CCTCCM201021	Rhizopus_microsporus_var_chinensis_CCTCCM201021
Rhimi1_1	Rhizopus_microsporus_var_microsporus_ATCC52813.v1.Rhimi1
N166	Rhizopus_microsporus_var_rhizopodiformis_B7455
G679	Rhizopus_oryzae_97-1192
G671	Rhizopus_oryzae_99-133
G675	Rhizopus_oryzae_99-892
G225	Rhizopus_oryzae_B7407
G673	Rhizopus_oryzae_HUMC_02
G668	Rhizopus_oryzae_NRRL_13440
G669	Rhizopus_oryzae_NRRL_18148
G670	Rhizopus_oryzae_NRRL_21396
G232	Rhizopus_stolonifer_B9770
CU098	Rhizopus_stolonifer_LSU_93-RS-03.v1
Rtor	Rhodosporidium_toruloides_NP11
Rall	Rozella_allomycis_CSF55
Scer	Saccharomyces_cerevisiae_S288C.vR64-2-1
Saico1	Saitoella_complicata_NRRL_Y-17804
N171	Saksenaea_oblongisporus_B3353
G233	Saksenaea_vasiformis_B4078
Spom	Schizosaccharomyces_pombe_972h-.vASM294v2
Sebve1	Sebacina_vermifera_MAFF_305830
SANG	Smittium_angustum_AUS-126-30.v1
AYI70	Smittium_culicis_GSMNP
AYI69	Smittium_culicis_ID206W2.v2
SMEG	Smittium_megazygosporum_SC-DP-2.v1
AYI68	Smittium_mucronatum_ARSEF_9090.v1
SSIM	Smittium_simulii_SWE_8-4.v1
Spifus1	Spinellus_fusiger_NRRL_22323
Spun	Spizellomyces_punctatus_DAOM_BR117.v1
Spore1	Sporisorium_reilianum_SRZ2.Spore1
Spoumb1	Sporodiniella_umbellata_MES_1446
N160	Syncephalastrum_monosporum_B8922
G227	Syncephalastrum_racemosum_B6101
Synrac1	Syncephalastrum_racemosum_NRRL_2496
Synfus1	Syncephalis_fuscata_S228
Synplu1	Syncephalis_plumigaleata_S24
Tapde1_1	Taphrina_deformans.Tapde1_1
Tescy1	Testicularia_cyperi_MCA_3645
Thaele1	Thamnidium_elegans_NRRL_2467
Thasp1	Thamnocephalis_sphaerospora_RSA_1356
Trisp1	Tritirachium_sp_CBS_265.96
Tubme1	Tuber_melanosporum.Tubme1
N165	Umbelopsis_isabellina_B7317
Umbra1	Umbelopsis_ramanniana_AG_#
Umbsp_AD052_1	Umbelopsis_sp_AD052
Umay	Ustilago_maydis_521.v190413
Wich	Wallemia_ichthyophaga_EXF-994
Xylhe1	Xylona_heveae_TC161
Ylip	Yarrowia_lipolytica_CLIB122
AX774	Zancudomyces_culisetae_ARSEF_9012.v1
Zsp	Zoopage_sp
Zin	Zoophagus_insidians
Zoorad1	Zoophthora_radicans_ATCC_208865
Zycmex1	Zychaea_mexicana_RSA_1403
